naam;hoeveelheid;prijs;aanbieding
AH BASIC Chocolate chip cookies;225 g;0.71;
AH Zaans huisje melk;125 g;0.69;
Oreo Biscuits original rollpack;154 g;1.25;
Time Out Granenbiscuits chocolade;195 g;1.29;
AH Zaans huisje puur;125 g;0.69;
AH Choc chip cookies wit-melk-puur;200 g;0.99;
Oreo Biscuits omhuld met witte chocolade;6 x 2 stuks;1.99;
LU Scholiertje biscuits melk chocolade;150 g;1.99;
Liga Belvita chocolade;300 g;2.19;
Oreo Biscuits original;10 x 2 stuks;1.99;
LU Pim's cake sinaasappel chocolade;150 g;1.69;
LU Robuuste koeken chocolade;184 g;1.79;
AH Lichtbruintjes melk;300 g;0.97;
AH Choc chip cookies melk-puur;200 g;0.99;
AH Donkerbruintjes puur;300 g;0.97;
Milka Wafels chocowafer melk;180 g;1.99;
AH Chocolate chip caramel seasalt milk;140 g;1.69;
AH Choc chip red velvet white chocolate;140 g;1.69;
AH Choco chip macadamia milk chocolate;140 g;1.99;
Oreo Biscuits omhuld met melkchocolade;6 x 2 stuks;1.75;
AH Choco chip hazelnut dark;140 g;1.69;
AH Chocolate chip dark roast;140 g;1.69;
LU Scholiertje biscuits pure chocolade;150 g;1.99;
AH Chocolade chip hazelnoot melk mini;140 g;1.69;
AH Zaanse huisje wit;125 g;0.69;
Buys Zoenen;12 stuks;1.25;
AH Choco chip hazelnut milk;140 g;1.69;
AH Choc chip cookies wit-cranberry;200 g;0.99;
Leev Biologische oerkoek haver-spelt-chocola;140 g;1.99;
AH Choc chip pecan dark chocolate;140 g;1.99;
AH Choc chip coco dark chocolate;140 g;1.69;
AH Choc chip pistachio dark chocolate;140 g;1.99;
Brinky Choco fourre volkoren;300 g;1.29;
AH Pauzekoeken chocolade;195 g;1.05;
Echte Enkhuizer Jodekoeken choco;363 g;1.69;
Milka Melocakes biscuits schuim en chocolade;200 g;1.79;
AH Chocolade tarwe biscuit melk;300 g;0.89;
Bonne Maman Mini brownies;240 g;0.49;
Oreo Biscuits double crème rollpack;157 g;1.25;
LU Mikado biscuitstokjes melkchocolade;75 g;1. 69;
AH Kokoskoek chocolade;200 g;0.99;
AH Haverkoekjes choco;300 g;1.19;
AH Chocolade pindakoeken;150 g;0.99;
AH Chocolade tarwe biscuit puur;300 g;0.89;
AH BASIC Mini choco kisses;266 g;1.69;
Milka Cake & choc;175 g;1.75;
AH Stroopwafel dark-roast chocolate;230 g;1.49;
AH Galettes chocolade;300 g;1.69;
Oreo Original crispy & thin;192 g;1.89;
Oreo Biscuits mini original uitdeelbeker;115 g;1.29;
AH Choco chip hazelnut filling;200 g;0.99;
Oreo Biscuits double crème;6 x 2 stuks;1.59;
Milka Wafels chocowafer wit;180 g;1.99;
Handmade Roomboter chocolade koekjes;140 g;2.29;
Oreo Birthday party;154 g;1.39;
AH Karamelkoekjes melk chocolade;160 g;1.79;
Dutch & Dapper Witte chocolade;135 g;1.99;
Dutch & Dapper Tripple chocolate;135 g;1.99;
Dutch & Dapper Pecan caramel melk;135 g;1.99;
AH Choc chip caramel filling;200 g;0.99;
Oreo Cookies brownie rollpack;154 g;1.39;
Oreo Biscuits strawberry cheesecake rollpack;154 g;1.25;
Milka Cake choc & choc;175 g;1.95;
Jules Destrooper Kandijkoekjes in chocolade;100 g;1.44;
Oreo Joyfills;90 g;1.49;
Oreo Biscuits original uitdeelverpakking;264 g;2.19;
AH Karamelkoekjes witte chocolade;160 g;1.79;
AH Choco rolls milk chocolate;125 g;0.89;
AH Double chocolate muffin;2 stuks;1.49;
Milka Joyfills;90 g;1.49;
Handmade Deliciously dark all butter brown cookie;140 g;2.19;
Farm Brothers Dark chocolate & sea salt;150 g;2.99;
Dutch & Dapper Party time;135 g;1.99;
Dutch & Dapper Framboos kokos wit;135 g;1.99;
Veganz Schokokeks choco biscuits;150 g;2.15;
Oreo Crispy & thin cocos;192 g;1.89;
Oreo Biscuits mint rollpack;154 g;1.39;
Jules Destrooper Delices cacoa & chocolade;60 g;1.44;
AH Brosse choco spritsen;300 g;1.99;
Bonne Maman Sablés tout chocolat;150 g;1.99;
Oreo Biscuits peanut butter rollpack;154 g;1.39;
De Graanschuur Soft amandel cranberry witte chocolade;160 g;1.99;
Leev Bio oer choco spelt & quinoa wafels puur;100 g;1.89;
AH Choco rolls dark chocolate;125 g;0.89;
Oreo Chocolate creme crispy & thin;192 g;1.89;
LU Cha-Cha classic;8 x 27 g;3.15;
LU Mikado king choco;51 g;1.75;
LU Mikado chocolat blanc;70 g;1.89;
Ülker Biskrem cocoa bag;170 g;1.19;
Oreo Biscuits original smallsize;66 g;0.99;
Bakkers Best Aardbeiengebak;6 stuks;0.96;
Bakkers Best Bokkenpootjes;200 g;0.89;
Bakkers Best Crème doublies;200 g;1.12;
Bakkers Best Eierkoeken;10 stuks;0.79;
Bakkers Best Kletskoppen;175 g;0.79;
Bakkers Best Spritsen;300 g;1.29;
Lu Chocoprince vanille;6 stuks;1.65;
Lu Prince ministars black & white;187 g;1.89;
Lu Prince ministars;187 g;1.87;
Lu Prince cake & choc;5 stuks;1.74;
Lu Prince fourre chocolade;300 g;1.59;
Lu Prince fourre maxi;250 g;1.62;
Lu Prince fourre vanille;300 g;1.59;
Lu Prince start naturel;4 x 6 stuks;1.78;
Cream kakoa;350 g;1.00;
1 De Beste Yoghurtbiscuit aardbei;5 x 2 stuks;1.12;
1 De Beste Yoghurtbiscuit bosvruchten;5 x 2 stuks;1.09;
1 De Beste Volkoren biscuits;300 g;0.69;
1 De Beste Suikerbruintjes melk;300 g;0.76;
1 De Beste Speculaas amandel;400 g;1.19;
1 De Beste Mueslirepen chocolade;138 g;1.28;
1 De Beste Muesli repen yoghurt & cranberry;138 g;1.43;
1 De Beste Melkbiscuits aardbei;6 x 2 stuks;1.16;
1 De Beste Melkbiscuits choco;6 x 2 stuks;1.19;
1 De Beste Melkbiscuits melk;6 x 2 stuks;1.23;
1 De Beste Meergranenbiscuit bosvruchten;6 x 2 stuks;1.02;
1 De Beste Meergranenbiscuit appel;6 x 2 stuks;1.12;
1 De Beste Meergranenbiscuit krent & rozijn;6 x 2 stuks;0.91;
1 De Beste Lange vingers;175 g;0.66;
1 De Beste Kandijkoeken;260 g;0.65;
1 De Beste Granenbiscuit chocolade;6 x 2 stuks;1.02;
1 De Beste Fruitrepen appel;6 stuks;0.95;
1 De Beste Fruitrepen bosvruchten;6 stuks;0.95;
1 De Beste Fruitbiscuit bosvruchten;5 x 3 stuks;0.97;
1 De Beste Fruitbiscuit appel;5 x 3 stuks;0.97;
1 De Beste Fruitbiscuit naturel;5 x 3 stuks;0.97;
1 De Beste Digestive;400 g;0.68;
1 De Beste Chocoprentjes melk;150 g;0.78;
1 De Beste Chocoprentjes puur;150 g;0.79;
1 De Beste Café noir;200 g;0.76;
1 De Beste Bitterkoekjes;250 g;0.95;
1 De Beste Biscuits kokos;240 g;0.69;
1 De Beste Bakkersspeculaas;400 g;0.82;
Alysse Mini brownies 8 stuks;240 g;1.39;
Aron Parisettes;300 g;1.19;
Aviateur Kano's;5 stuks;0.49;
Bakker Bollebof Amandelpencees;4 stuks;2.29;
Bakker Bollebof Grote spritsen;6 stuks;2.29;
Bakker Bollebof Reuze mergpijpen;4 stuks;2.29;
Bakker Bollebof Roomboter romeo;8 stuks;2.29;
Bakker Bollebof Speculaasmolens 10 stuks;Per pak;1.99;
Bakker Bollebof Spijs allerhande;12 stuks;2.29;
Bakker Joop Stroopkoeken;8 stuks;0.99;
Bakker Joop Stroopwafels;12 stuks;0.84;
Bakkers Best Amandeltongen roomboter;175 g;1.58;
Bakkers Best Appelkoeken mini;9 stuks;0.96;
Bakkers Best Appelkruimelkoeken roomboter;6 stuks;1.74;
Bakkers Best Bakkersmakronen reuze;5 stuks;1.78;
Bakkers Best Bokkenpoten reuze;4 stuks;1.89;
Bakkers Best Boterkoekblokjes;350 g;1.82;
Bakkers Best Boterkoektaartje roomboter;450 g;2.12;
Bakkers Best Cakejes abrikozen;6 stuks;0.99;
Bakkers Best Cakerol aardbei;300 g;1.19;
Bakkers Best Choco ruiten;175 g;1.18;
Bakkers Best Confettini's;6 stuks;1.28;
Bakkers Best Crème brûlée;175 g;1.24;
Bakkers Best Crème mergpijpjes;7 stuks;1.18;
Bakkers Best Custardcakejes roomboter;6 stuks;1.28;
Bakkers Best Deugnietjes;200 g;1.49;
Bakkers Best Fondantcakejes 5 stuks;300 g;1.65;
Bakkers Best Gangmakers;6 stuks;1.29;
Bakkers Best Gevulde koeken roomboter;300 g;1.27;
Bakkers Best Gevulde koeken mini;9 stuks;0.96;
Bakkers Best Hazelnootzandjes roomboter;200 g;1.53;
Bakkers Best Jan hagel;250 g;1.18;
Bakkers Best Javawafels;250 g;0.62;
Bakkers Best Kletsmajoors roomboter;185 g;1.38;
Bakkers Best Koekjes assorti roomboter;200 g;1.29;
Bakkers Best Koffiekoekjes;250 g;0.89;
Bakkers Best Koffiewafels;150 g;0.72;
Bakkers Best Kokoskransen;6 stuks;0.89;
Bakkers Best Kokosmakronen;6 stuks;1.02;
Bakkers Best Krakelingen roomboter;200 g;1.09;
Bakkers Best Krakelingen gesuikerd roomboter;200 g;0.99;
Bakkers Best Luxe duocakejes roomboter;6 stuks;1.79;
Bakkers Best Luxe eiercakejes roomboter;6 stuks;1.49;
Bakkers Best Marmercake;450 g;1.74;
Bakkers Best Mergpijp reuze;5 stuks;1.49;
Bakkers Best Mergpijp cakejes;7 stuks;1.15;
Bakkers Best Mini choco caramel koekjes witte chocolade;107 g;0.99;
Bakkers Best Mini choco caramel koekjes melk chocolade;107 g;0.99;
Bakkers Best Mini stroopwafels roomboter;200 g;1.46;
Bakkers Best Naturel cake;450 g;1.49;
Bakkers Best Oranjekoekstukjes;6 stuks;0.95;
Bakkers Best Pindakoeken;300 g;1.67;
Bakkers Best Pindakoeken chocolade;200 g;1.12;
Bakkers Best Pondje cake;500 g;1.09;
Bakkers Best Reuze kokoskransen 5 stuks;300 g;1.49;
Bakkers Best Reuze roomboter krakelingen;250 g;1.72;
Bakkers Best Roomboter carrees;6 stuks;0.99;
Bakkers Best Roomboter kano's;5 stuks;0.85;
Bakkers Best Roomboter selectie;300 g;1.49;
Bakkers Best Roomboter spritsen groot;250 g;1.29;
Bakkers Best Roompuddingcakejes vanille;300 g;1.45;
Bakkers Best Rozijnen stercakejes roomboter;6 stuks;1.15;
Bakkers Best Sneeuwwafels;250 g;1.12;
