naam;hoeveelheid;prijs;aanbieding
Abrikozenvlaai heel;Per stuk;2.99;
Ambachtelijke speculaascake;450 g;2.49;
Appelkaneel taart;Per stuk;3.99;
Appelkruimelvlaai;Per stuk;2.99;
Slagroomschnitt;600 g;4.99;
Tompouce;4 stuks;2.99;
Pure Ambacht Aardbeienslof;Per stuk;4.99;
Pure Ambacht Appel kruimelvlaai;Per stuk;2.89;
Pure Ambacht Bananensoezen;2 stuks;2.89;
Pure Ambacht Bossche bollen;2 stuks;2.89;
Pure Ambacht Roombroodjes;2 stuks;1.89;
Pure Ambacht Slagroomsoesjes;14 stuks;2.89;
Spar roomboter appeltaart;Stuk 760 gram;3.99;
appeltaartjes ouwe taart;Pak 234 gram;2.75;
Spar Oreotaart halve;Doos 550 gram;6.49;
Ambachtelijke Bakker Vruchtengebakjes;Doos 2 stuks;3.79;
Ambachtelijke Bakker Hazelnoot creme gebak;Doos 2 stuks;3.79;
Spar brownievlaai;Doos 1 stuks;6.49;
Ambachtelijke Bakker ambachtelijke slagroom schnitte;Doos 350 gram;5.29;
cinnamonroll;Stuk 85 gram;1.19;
Ambachtelijke Bakker Slagroomtaart 10 personen;Doos 950 gram;12.49;
Ambachtelijke Bakker Tompoucen;Doos 2 stuks;3.29;
Spar Aardbeienbaveroise vlaai halve;Doos 700 gram;5.99;
Spar roomkruimel vlaai halve;Doos 450 gram;3.29;
Spar appelkruimelvlaai halve;Doos 450 gram;3.29;
Ambachtelijke Bakker Appelpunten;Doos 2 stuks;3.29;
Ambachtelijke Bakker Slagroomgebak;Doos 2 stuks;3.79;
roomboter amandelstaaf;Stuk 275 gram;2.99;
Spar stroopwafelvlaai;Doos 450 gram;6.49;
Ambachtelijke Bakker Moorkoppen;Doos 2 stuks;3.79;
Spar frambozentaart halve;Doos 720 gram;5.99;
Ambachtelijke Bakker Baveroise vierkantjes;Doos 2 stuks;3.79;
Ambachtelijke Bakker Slagroomsoesjes;Doos 13 stuks;3.79;
Spar mangotaart halve;Doos 750 gram;5.99;
Spar Boerenappeltaart halve;Doos 450 gram;2.99;
Ambachtelijke Bakker Bananensoes;Doos 2 stuks;3.79;
roomboter speculaastaartje met amandelschaafsel;Zak 400 gram;3.99;
Ambachtelijke Bakker Roombroodjes;Doos 2 stuks;1.99;
roomboter speculaas piccolo;Zak 100 gram;0.99;
Ambachtelijke Bakker ambachtelijke skislof;Doos 1 stuks;7.49;
Spar abrikozenvlaai halve;Doos 450 gram;3.29;
Spar kersenvlaai halve;Doos 450 gram;3.29;
